
---

## 2. `requirements.csv` – Full traceability matrix

Copy the following CSV content into a file named `requirements.csv`. Then open in Excel and save as `.xlsx` if desired.

```csv
ID,Module,Requirement,Priority,Status
FR-ACC-JE-09,Accounts - Journal Entry,Status workflow (Draft → Posted → Cancelled),High,Implemented
FR-ACC-COA-01,Accounts - Chart of Accounts,Hierarchical grouping by type,High,Implemented
FR-ACC-COA-02,Accounts - Chart of Accounts,Columns (Code, Name, System Name, Balance, Action),High,Implemented
FR-ACC-COA-03,Accounts - Chart of Accounts,Filters by account type,High,Implemented
FR-ACC-COA-04,Accounts - Chart of Accounts,Account code format XXX-XXXXX,High,Implemented
FR-ACC-COA-05,Accounts - Chart of Accounts,Account types (Asset, Liability, Equity, Revenue, Expense, Contra),High,Implemented
FR-ACC-COA-06,Accounts - Chart of Accounts,System accounts cannot be deleted,High,Implemented
FR-ACC-COA-07,Accounts - Chart of Accounts,Add account form (Parent, Group, Code, Name),High,Implemented
FR-ACC-COA-08,Accounts - Chart of Accounts,Opening balance via Journal Entry,High,Implemented
FR-ACC-BA-01,Accounts - Bank Account,List columns (Account Title, Branch Name, Account Number, Action),High,Implemented
FR-ACC-BA-02,Accounts - Bank Account,Search, Print, Export to Excel,Low,Approved
FR-ACC-BA-03,Accounts - Bank Account,Add bank account form (Parent, Code, Bank Name, Branch, Title, Number, Account Name, Group, Use as credit card),High,Implemented
FR-ACC-BA-04,Accounts - Bank Account,Account Group (Transactional/Control) immutable after creation,High,Implemented
FR-ACC-BA-05,Accounts - Bank Account,Credit card checkbox (liability),Medium,Implemented
FR-ACC-BD-01,Accounts - Bank Deposit,List filters (Number, Date, Bank Account, Deposit No., Total Amount, Status),High,Implemented
FR-ACC-BD-02,Accounts - Bank Deposit,Auto-number BD-XXXXXX,High,Implemented
FR-ACC-BD-03,Accounts - Bank Deposit,Bank Account mandatory,High,Implemented
FR-ACC-BD-04,Accounts - Bank Deposit,Multiple deposit lines,High,Implemented
FR-ACC-BD-05,Accounts - Bank Deposit,Add lines manually or from un-deposited payments,High,Implemented
FR-ACC-BD-06,Accounts - Bank Deposit,Total Selected auto-calc,High,Implemented
FR-ACC-BD-07,Accounts - Bank Deposit,Status workflow (Draft → Deposited → Cleared / Cancelled),High,Implemented
FR-ACC-BD-08,Accounts - Bank Deposit,Journal entry (Debit Bank, Credit Undeposited Funds),High,Implemented
FR-ACC-CN-01,Accounts - Credit Note,List filters (Number, Date, Reference, Contact, Account, Amount, Unadjusted Amount, Status),High,Implemented
FR-ACC-CN-02,Accounts - Credit Note,Auto-number CN-XXXXXX,High,Implemented
FR-ACC-CN-03,Accounts - Credit Note,Contact mandatory,High,Implemented
FR-ACC-CN-04,Accounts - Credit Note,Account mandatory,High,Implemented
FR-ACC-CN-05,Accounts - Credit Note,Make auto settlements checkbox,Medium,Implemented
FR-ACC-CN-06,Accounts - Credit Note,Display open invoices table,High,Implemented
FR-ACC-CN-07,Accounts - Credit Note,Allocation cannot exceed credit amount,High,Implemented
FR-ACC-CN-08,Accounts - Credit Note,Journal entry (Debit selected Account, Credit A/R),High,Implemented
FR-ACC-DN-01,Accounts - Debit Note,List filters,High,Implemented
FR-ACC-DN-02,Accounts - Debit Note,Auto-number DN-XXXXXX,High,Implemented
FR-ACC-DN-03,Accounts - Debit Note,Contact (vendor) mandatory,High,Implemented
FR-ACC-DN-04,Accounts - Debit Note,Account mandatory,High,Implemented
FR-ACC-DN-05,Accounts - Debit Note,Make auto settlements,Medium,Implemented
FR-ACC-DN-06,Accounts - Debit Note,Display open purchase invoices table,High,Implemented
FR-ACC-DN-07,Accounts - Debit Note,Journal entry (Debit A/P, Credit selected Account),High,Implemented
FR-ACC-FT-01,Accounts - Funds Transfer,List filters (Number, Date, Reference, From Account, To Account, Amount, Status),High,Implemented
FR-ACC-FT-02,Accounts - Funds Transfer,Auto-number FT-XXXXXX,High,Implemented
FR-ACC-FT-03,Accounts - Funds Transfer,From/To Accounts mandatory and different,High,Implemented
FR-ACC-FT-04,Accounts - Funds Transfer,Journal entry (Debit To, Credit From),High,Implemented
FR-ACC-OC-01,Accounts - Other Collections,List filters,High,Implemented
FR-ACC-OC-02,Accounts - Other Collections,Auto-number OC-XXXXXX,High,Implemented
FR-ACC-OC-03,Accounts - Other Collections,Other Contact mandatory,High,Implemented
FR-ACC-OC-04,Accounts - Other Collections,Multiple instruments,High,Implemented
FR-ACC-OC-05,Accounts - Other Collections,Collection modes (Cash, Cheque, Bank Transfer),High,Implemented
FR-ACC-OC-06,Accounts - Other Collections,Account Adjustments,High,Implemented
FR-ACC-OP-01,Accounts - Other Payments,List filters,High,Implemented
FR-ACC-OP-02,Accounts - Other Payments,Auto-number OP-XXXXXX,High,Implemented
FR-ACC-OP-03,Accounts - Other Payments,Other Contact mandatory,High,Implemented
FR-ACC-OP-04,Accounts - Other Payments,Multiple instruments,High,Implemented
FR-ACC-OP-05,Accounts - Other Payments,Payment modes (Cash, Bank Transfer, Cheque),High,Implemented
FR-ACC-OP-06,Accounts - Other Payments,Account Adjustments,High,Implemented
FR-ACC-OP-07,Accounts - Other Payments,Account (debit) mandatory,High,Implemented
FR-ACC-INST-01,Accounts - Instruments,List of all payment instruments,High,Implemented
FR-ACC-INST-02,Accounts - Instruments,Filters (Payment Mode, Bank Name, Instrument No., Date, Amount, Status),High,Implemented
FR-ACC-INST-03,Accounts - Instruments,Status update (Cleared, Bounced, Void),High,Implemented
FR-ACC-OCS-01,Accounts - Other Contact Settlement,List filters (Number, Date, Contact, Total Amount, Status),High,Approved
FR-ACC-OCS-02,Accounts - Other Contact Settlement,Auto-number OCS-XXXXXX,High,Approved
FR-ACC-OCS-03,Accounts - Other Contact Settlement,Receivables and Received tables,High,Approved
FR-ACC-OCS-04,Accounts - Other Contact Settlement,Make auto settlements checkbox,Medium,Approved
FR-ACC-OCS-05,Accounts - Other Contact Settlement,Partial settlement allowed,High,Approved
FR-ACC-OCS-06,Accounts - Other Contact Settlement,Status workflow (Draft → Approved → Completed / Cancelled),High,Approved
FR-INV-SM-01,Inventory - Stock Movement,List filters (Number, Date, Reference, From Warehouse, To Warehouse, Status),High,Approved
FR-INV-SM-02,Inventory - Stock Movement,Auto-number SM-XXXXXX,High,Approved
FR-INV-SM-03,Inventory - Stock Movement,From/To Warehouses mandatory and different,High,Approved
FR-INV-SM-04,Inventory - Stock Movement,Multiple products per movement,High,Approved
FR-INV-SM-05,Inventory - Stock Movement,Barcode scanning,High,Approved
FR-INV-SM-06,Inventory - Stock Movement,Status workflow (Draft → Completed → Cancelled),High,Approved
FR-INV-SA-01,Inventory - Stock Adjustment,List filters (Number, Date, Adjustment Type, Reference, Status),High,Approved
FR-INV-SA-02,Inventory - Stock Adjustment,Auto-number SA-XXXXXX,High,Approved
FR-INV-SA-03,Inventory - Stock Adjustment,Adjustment Type mandatory,High,Approved
FR-INV-SA-04,Inventory - Stock Adjustment,Multiple products per adjustment,High,Approved
FR-INV-SA-05,Inventory - Stock Adjustment,Barcode scanning,High,Approved
FR-INV-SA-06,Inventory - Stock Adjustment,Status workflow (Draft → Completed → Cancelled),High,Approved
FR-INV-AT-01,Inventory - Adjustment Types,Add adjustment type form (Name, Account, Add/Subtract, Description),High,Approved
FR-INV-AT-02,Inventory - Adjustment Types,Used in Stock Adjustment to control inventory direction,High,Approved
FR-INV-AT-03,Inventory - Adjustment Types,Cannot delete if used,High,Approved
FR-INV-SV-01,Inventory - Scheduled Valuation,List filters (Date, Naration, Status),High,Approved
FR-INV-SV-02,Inventory - Scheduled Valuation,Manual or scheduled execution,High,Approved
FR-INV-SV-03,Inventory - Scheduled Valuation,Report exportable (Excel/PDF),High,Approved
FR-INV-PROD-01,Inventory - Product Master,Product types: Product, Service, Product Variant,High,Approved
FR-INV-PROD-02,Inventory - Product Master,Track Inventory, Batch, Serial, Packaging, Assemble toggles (immutable after save),High,Approved
FR-INV-PROD-03,Inventory - Product Master,Purchase settings (Purchase Price, Tax, Discount Account),High,Approved
FR-INV-PROD-04,Inventory - Product Master,Sale settings (Sale Price, Sales Account, MRP, Sales Return Account),High,Approved
FR-INV-PROD-05,Inventory - Product Master,Opening stock via Stock Adjustment (type 'Openings'),High,Approved
FR-CONS-01,Inventory - Consignments,List filters (Number, Date, Vendor, Description, Status),High,Approved
FR-CONS-02,Inventory - Consignments,Auto-number CG-XXXXXX,High,Approved
FR-CONS-03,Inventory - Consignments,Consignment Out and In,High,Approved
FR-CONS-04,Inventory - Consignments,Settlement via sales/purchase invoices,High,Approved
FR-MFG-JO-01,Manufacturing - Job Orders,List filters (Number, Date, Reference, Assembly Product, Due Date, Quantity, Status),High,Approved
FR-MFG-JO-02,Manufacturing - Job Orders,Auto-number JO-XXXXXX,High,Approved
FR-MFG-JO-03,Manufacturing - Job Orders,Input (components) and Output (finished goods) tables,High,Approved
FR-MFG-JO-04,Manufacturing - Job Orders,Completion decreases component stock, increases finished good stock, posts journal entry,High,Approved
FR-MFG-JO-05,Manufacturing - Job Orders,Partial completion allowed,High,Approved
FR-MFG-DS-01,Manufacturing - Disassembling,List filters (Number, Date, Reference, Assembly Product, Quantity, Status),High,Approved
FR-MFG-DS-02,Manufacturing - Disassembling,Auto-number DS-XXXXXX,High,Approved
FR-MFG-DS-03,Manufacturing - Disassembling,Product To Disassemble mandatory,High,Approved
FR-MFG-DS-04,Manufacturing - Disassembling,Output (components recovered) table,High,Approved
FR-MFG-DS-05,Manufacturing - Disassembling,Completion decreases finished good, increases component stock,High,Approved
FR-REP-01,Reports,Reports categorised by module,High,Approved
FR-REP-02,Reports,Date range and entity filters,High,Approved
FR-REP-03,Reports,Export to Excel/PDF and Print,Low,Approved
FR-REF-01,Refer And Earn,Referral dashboard with points, balance, URL,High,Approved
FR-REF-02,Refer And Earn,Points History,Medium,Approved
FR-REF-03,Refer And Earn,Signup reward and first payment reward,High,Approved
FR-REF-04,Refer And Earn,Admin configuration (reward amounts, expiry, reports),Medium,Approved
FR-DASH-01,Dashboard,"KPIs: Today, Yesterday, This Month, Last Month, This Year, Last Year Sales",High,Approved
FR-DASH-02,Dashboard,Revenue vs Expense chart, Profit & Loss line chart,High,Approved
FR-DASH-03,Dashboard,"Account Receivable Aging, Top Products, Top Customers, Cash & Bank balances, Low Inventory alerts",High,Approved
FR-PAY-01,Payroll - Employees,Employee master (Code, Name, Department, Designation, Joining Date, Salary, NTN, CNIC, attachments),High,Approved
FR-PAY-02,Payroll - Departments,Departments (Name, Manager),Medium,Approved
FR-PAY-03,Payroll - Designations,Designations (Name, optional Department),Medium,Approved
FR-PAY-04,Payroll - Projects,Projects (Name, Customer, Start/End Date, Budget, Status, Assigned Employees),Medium,Approved
FR-SP-01,Sales Persons,List filters (Name, Status, Application User Email, Branch),High,Approved
FR-SP-02,Sales Persons,Sales Person Name mandatory,High,Approved
FR-SP-03,Sales Persons,"Type options: Salesman, Order Booker, Delivery Person",High,Approved
FR-SP-04,Sales Persons,Permissions: Can change price, Can add discount,High,Approved
FR-SP-05,Sales Persons,Is Manager flag,Medium,Approved
FR-USER-01,Users & Roles,Predefined roles (Company Admin, Sales Manager, Purchase Assistant, etc.),High,Approved
FR-USER-02,Users & Roles,Invite users via email, assign one or more roles,High,Approved
FR-USER-03,Users & Roles,Role permissions: full CRUD+approve for managers; draft-only for assistants; view only for report viewers,High,Approved
FR-OTHER-01,Other Contacts,List columns (Code, Name, Category, Contact Person, Email, Phone, Action),High,Approved
FR-OTHER-02,Other Contacts,Auto-number 0-XXXXXX,High,Approved
FR-OTHER-03,Other Contacts,Print Name and Other Contact Name mandatory,High,Approved
FR-PRO-01,Prospects,List columns (Code, Name, Contact Person, Email, Phone, Action),High,Approved
FR-PRO-02,Prospects,Auto-number P-XXXXXX,High,Approved
FR-PRO-03,Prospects,Convert Prospect to Customer,High,Approved
FR-COURIER-01,Couriers,List columns (Code, Name, Contact Person, Email, Phone, Action),High,Approved
FR-COURIER-02,Couriers,Auto-number CS-XXXXXX,High,Approved
FR-COURIER-03,Couriers,Print Name mandatory,High,Approved
FR-CP-01,Customer Portal,Customer login and self-service (invoices, payments, tickets, delivery tracking),High,Approved
FR-CP-02,Customer Portal,Admin configuration (modules visible, branding, payment gateway),Medium,Approved
FR-CP-03,Customer Portal,Customer Portal Request form,Low,Approved
FR-CAT-01,Setup - Categories,Separate masters for Customer, Vendor, Product, Other Contact categories, Brands,High,Approved
FR-CAT-02,Setup - Categories,Category list: Name, Action,Medium,Approved
FR-CAT-03,Setup - Categories,Category Name mandatory & unique,High,Approved
FR-CAT-04,Setup - Categories,Product Categories support hierarchy (Parent Category),High,Approved
FR-CAT-05,Setup - Categories,Brands: simple Name only,Medium,Approved
FR-TAX-01,Setup - Taxes,List columns (Name, Abbreviation, Tax Type, Rate, Status, Action),High,Approved
FR-TAX-02,Setup - Taxes,Tax Name and Abbreviation mandatory,High,Approved
FR-TAX-03,Setup - Taxes,At least one of "Tax collected on sales" or "Tax paid on purchase",High,Approved
FR-TAX-04,Setup - Taxes,Rate (%) decimal,High,Approved
FR-WH-01,Setup - Warehouses,List columns (Name, Address1, City, Country, Status, Action),High,Approved
FR-WH-02,Setup - Warehouses,Warehouse Name mandatory & unique,High,Approved
FR-WH-03,Setup - Warehouses,Default warehouse flag,Medium,Approved
FR-CF-01,Setup - Custom Fields,List columns (Name, Description, Applied On, Type, Action),High,Approved
FR-CF-02,Setup - Custom Fields,Add custom field form (Name, Type, Description, Applied On checkboxes),High,Approved
FR-CF-03,Setup - Custom Fields,Applied On options: Product, Customer, Vendor, Employee, Other Contact,High,Approved
FR-CF-04,Setup - Custom Fields,Field appears on corresponding entity forms,High,Approved
FR-MPL-01,Setup - Multiple Price Levels,List filters (Number, Name, Start Date, End Date, Reference, Status),High,Approved
FR-MPL-02,Setup - Multiple Price Levels,Auto-number SP-XXXXXX,High,Approved
FR-MPL-03,Setup - Multiple Price Levels,Name mandatory,High,Approved
FR-MPL-04,Setup - Multiple Price Levels,Customer Categories multi-select,High,Approved
FR-MPL-05,Setup - Multiple Price Levels,Product pricing table (special price / discount %, min quantity),High,Approved
FR-MPL-06,Setup - Multiple Price Levels,Automatic price application in sales documents,High,Approved
FR-TKTAG-01,CRM - Ticket Tags,List columns (Name, Description, Action),High,Approved
FR-TKTAG-02,CRM - Ticket Tags,Name mandatory & unique,High,Approved
FR-TKTAG-03,CRM - Ticket Tags,Tags assignable to tickets,Medium,Approved
FR-TKSTAT-01,CRM - Ticket Statuses,List columns (Name, System Status, Action),High,Approved
FR-TKSTAT-02,CRM - Ticket Statuses,One default status,High,Approved
FR-IND-01,CRM - Industries,List columns (Name, Action),High,Approved
FR-IND-02,CRM - Industries,Name mandatory & unique,High,Approved
FR-LDSRC-01,CRM - Lead Sources,List columns (Name, Colour, Action),High,Approved
FR-LDSRC-02,CRM - Lead Sources,Name mandatory, colour optional,Medium,Approved
FR-LDST-01,CRM - Lead Statuses,List columns (Name, Action),High,Approved
FR-LDST-02,CRM - Lead Statuses,Name mandatory,High,Approved
FR-EVTYPE-01,CRM - Event Types,List columns (Name, Is Default, Action),High,Approved
FR-EVTYPE-02,CRM - Event Types,Only one default,Medium,Approved
FR-EVSTAT-01,CRM - Event Statuses,List columns (Name, Event Type, Abbreviation, Color, System Status, Action),High,Approved
FR-EVSTAT-02,CRM - Event Statuses,Add form: Event Type, Name, Abbreviation, Color,High,Approved
FR-CUST-01,Customers,Multi-filter list by Code, Name, Category and Active status,High,Implemented
FR-CUST-02,Customers,List columns: Code, Name, Category, Contact Person, Email, Phone, Status, Action,High,Implemented
FR-CUST-03,Customers,Auto-generate customer code C-XXXXXX using number_series table,High,Implemented
FR-CUST-04,Customers,Print Name (Customer Name) mandatory field with validation,High,Implemented
FR-CUST-05,Customers,Category dropdown from customer_categories master,Medium,Implemented
FR-CUST-06,Customers,Contact Person field,Medium,Implemented
FR-CUST-07,Customers,Three email fields (email_1, email_2, email_3),Medium,Implemented
FR-CUST-08,Customers,Three phone fields (phone_1, phone_2, phone_3),Medium,Implemented
FR-CUST-09,Customers,Opening Balance field,Medium,Implemented
FR-CUST-10,Customers,Credit Limit field,Medium,Implemented
FR-CUST-11,Customers,Default Discount % and Withholding Tax % fields,Medium,Implemented
FR-CUST-12,Customers,Active/Inactive status toggle,High,Implemented
FR-CUST-13,Customers,CRUD REST API (list, create, read, update, delete),High,Implemented
FR-CUST-14,Customers,Paginated customer list (20 per page),Medium,Implemented
FR-VEND-01,Vendors,Multi-filter list by Code, Name, Category and Active status,High,Implemented
FR-VEND-02,Vendors,List columns: Code, Name, Category, Contact Person, Email, Phone, Status, Action,High,Implemented
FR-VEND-03,Vendors,Auto-generate vendor code V-XXXXXX using number_series table,High,Implemented
FR-VEND-04,Vendors,Vendor Name mandatory with validation,High,Implemented
FR-VEND-05,Vendors,Category dropdown from vendor_categories master,Medium,Implemented
FR-VEND-06,Vendors,Contact Person and Address fields,Medium,Implemented
FR-VEND-07,Vendors,Email and two phone fields,Medium,Implemented
FR-VEND-08,Vendors,Opening Balance and Credit Limit Days fields,Medium,Implemented
FR-VEND-09,Vendors,Is Principal flag (marks key/primary supplier),Medium,Implemented
FR-VEND-10,Vendors,Active/Inactive status toggle,High,Implemented
FR-VEND-11,Vendors,CRUD REST API (list, create, read, update, delete),High,Implemented
FR-VEND-12,Vendors,Paginated vendor list (20 per page),Medium,Implemented
FR-INV-PROD-01,Products,Product types: Product, Service, Product Variant,High,Implemented
FR-INV-PROD-02,Products,Track Inventory, Batch, Serial, Packaging, Assemble toggles (immutable after save),High,Implemented
FR-INV-PROD-03,Products,Purchase settings (Purchase Price, Tax, Manage Purchase Tax),High,Implemented
FR-INV-PROD-04,Products,Sale settings (Sale Price, MRP, MRP exclusive of tax, Don't allow public),High,Implemented
FR-INV-PROD-05,Products,Auto-generate product code P-XXXXXX using number_series table,High,Implemented
FR-INV-PROD-06,Products,Filter list by Code, Name, Type, Category, Brand, Status,High,Implemented
FR-INV-PROD-07,Products,List columns: Code, Name, Type, Category, Brand, UOM, Purchase Price, Sale Price, Status,High,Implemented
FR-INV-PROD-08,Products,Category dropdown with hierarchy (parent › child),Medium,Implemented
FR-INV-PROD-09,Products,Brand dropdown from brands master,Medium,Implemented
FR-INV-PROD-10,Products,Tax dropdown filtered by applies_to (sales/purchases),Medium,Implemented
FR-INV-PROD-11,Products,CRUD REST API (list, create, read, update, delete),High,Implemented
FR-INV-PROD-12,Products,Paginated product list (20 per page),Medium,Implemented
